
2024/09/22 (18:12:08) | ===> btop++ v.1.3.2
2024/09/22 (18:12:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (18:40:58) | ===> btop++ v.1.3.2
2024/09/22 (18:40:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (18:43:35) | ===> btop++ v.1.3.2
2024/09/22 (18:43:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (18:55:31) | ===> btop++ v.1.3.2
2024/09/22 (18:55:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (18:56:53) | ===> btop++ v.1.3.2
2024/09/22 (18:56:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (18:58:30) | ===> btop++ v.1.3.2
2024/09/22 (18:58:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (18:59:16) | ===> btop++ v.1.3.2
2024/09/22 (18:59:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (19:00:42) | ===> btop++ v.1.3.2
2024/09/22 (19:00:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (19:01:56) | ===> btop++ v.1.3.2
2024/09/22 (19:01:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (19:03:13) | ===> btop++ v.1.3.2
2024/09/22 (19:03:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (19:05:03) | ===> btop++ v.1.3.2
2024/09/22 (19:05:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (19:05:46) | ===> btop++ v.1.3.2
2024/09/22 (19:05:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (19:09:02) | ===> btop++ v.1.3.2
2024/09/22 (19:09:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (19:56:19) | ===> btop++ v.1.3.2
2024/09/22 (19:56:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (20:17:09) | ===> btop++ v.1.3.2
2024/09/22 (20:17:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (20:20:04) | ===> btop++ v.1.3.2
2024/09/22 (20:20:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (21:00:51) | ===> btop++ v.1.3.2
2024/09/22 (21:00:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/22 (23:01:59) | ===> btop++ v.1.3.2
2024/09/22 (23:01:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:32:48) | ===> btop++ v.1.3.2
2024/09/23 (22:32:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:34:24) | ===> btop++ v.1.3.2
2024/09/23 (22:34:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:35:11) | ===> btop++ v.1.3.2
2024/09/23 (22:35:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:39:27) | ===> btop++ v.1.3.2
2024/09/23 (22:39:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:44:31) | ===> btop++ v.1.3.2
2024/09/23 (22:44:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:45:10) | ===> btop++ v.1.3.2
2024/09/23 (22:45:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:47:48) | ===> btop++ v.1.3.2
2024/09/23 (22:47:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:48:35) | ===> btop++ v.1.3.2
2024/09/23 (22:48:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:49:39) | ===> btop++ v.1.3.2
2024/09/23 (22:49:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:50:35) | ===> btop++ v.1.3.2
2024/09/23 (22:50:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:54:08) | ===> btop++ v.1.3.2
2024/09/23 (22:54:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (22:54:47) | ===> btop++ v.1.3.2
2024/09/23 (22:54:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/23 (23:52:27) | ===> btop++ v.1.3.2
2024/09/23 (23:52:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (13:30:29) | ===> btop++ v.1.3.2
2024/09/24 (13:30:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (16:45:02) | ===> btop++ v.1.3.2
2024/09/24 (16:45:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (17:34:23) | ===> btop++ v.1.3.2
2024/09/24 (17:34:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (22:50:40) | ===> btop++ v.1.3.2
2024/09/24 (22:50:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (23:12:55) | ===> btop++ v.1.3.2
2024/09/24 (23:12:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/24 (23:30:27) | ===> btop++ v.1.3.2
2024/09/24 (23:30:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (12:33:33) | ===> btop++ v.1.3.2
2024/09/25 (12:33:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (13:33:13) | ===> btop++ v.1.3.2
2024/09/25 (13:33:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (13:46:42) | ===> btop++ v.1.3.2
2024/09/25 (13:46:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:16:58) | ===> btop++ v.1.3.2
2024/09/25 (14:16:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:23:01) | ===> btop++ v.1.3.2
2024/09/25 (14:23:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:27:35) | ===> btop++ v.1.3.2
2024/09/25 (14:27:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:30:24) | ===> btop++ v.1.3.2
2024/09/25 (14:30:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (14:30:46) | ===> btop++ v.1.3.2
2024/09/25 (14:30:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (15:46:20) | ===> btop++ v.1.3.2
2024/09/25 (15:46:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (15:46:38) | ===> btop++ v.1.3.2
2024/09/25 (15:46:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (15:57:24) | ===> btop++ v.1.3.2
2024/09/25 (15:57:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (17:52:50) | ===> btop++ v.1.3.2
2024/09/25 (17:52:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (18:42:19) | ===> btop++ v.1.3.2
2024/09/25 (18:42:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/25 (22:59:15) | ===> btop++ v.1.3.2
2024/09/25 (22:59:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (01:22:46) | ===> btop++ v.1.3.2
2024/09/26 (01:22:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (13:22:21) | ===> btop++ v.1.3.2
2024/09/26 (13:22:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/26 (23:28:25) | ===> btop++ v.1.3.2
2024/09/26 (23:28:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (21:58:40) | ===> btop++ v.1.3.2
2024/09/27 (21:58:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:04:53) | ===> btop++ v.1.3.2
2024/09/27 (22:04:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:15:44) | ===> btop++ v.1.3.2
2024/09/27 (22:15:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:22:29) | ===> btop++ v.1.3.2
2024/09/27 (22:22:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (22:53:27) | ===> btop++ v.1.3.2
2024/09/27 (22:53:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (23:17:10) | ===> btop++ v.1.3.2
2024/09/27 (23:17:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/27 (23:25:52) | ===> btop++ v.1.3.2
2024/09/27 (23:25:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (13:28:13) | ===> btop++ v.1.3.2
2024/09/28 (13:28:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/28 (13:58:20) | ===> btop++ v.1.3.2
2024/09/28 (13:58:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

